Taxon/strain	Number of hits
Acidobacterium capsulatum ATCC 51196	5
Acinetobacter pittii PHEA-2	6
Akkermansia glycaniphila	4
Anaeromyxobacter dehalogenans 2CP-1	6
Anaplasma phagocytophilum str. JM	1
Anatilimnocola aggregata	11
Aquifex aeolicus VF5	3
Arcobacter nitrofigilis DSM 7299	7
Armatimonadetes bacterium Uphvl-Ar1	1
Bacillus subtilis subsp. subtilis str. 168	2
Bacteroides nordii	4
Bdellovibrio bacteriovorus	10
Brachyspira intermedia PWS/A	2
Brachyspira pilosicoli WesB	2
Bradymonas sediminis	5
Brevibacillus laterosporus DSM 25	2
Brevundimonas subvibrioides ATCC 15264	3
Brucella ovis ATCC 25840	3
Caldicellulosiruptor obsidiansis OB47	1
Campylobacter concisus	4
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	5
Candidatus Accumulibacter similis	5
Candidatus Hydrogenosomobacter endosymbioticus	2
Candidatus Midichloria mitochondrii IricVA	3
Candidatus Paracaedibacter acanthamoebae	2
Candidatus Velamenicoccus archaeovorus	2
Candidatus Xiphinematobacter sp. Idaho Grape	2
Caulobacter vibrioides NA1000	3
Chlamydia muridarum str. Nigg	1
Chlamydia pecorum PV3056/3	1
Chlamydia pneumoniae TW-183	1
Chlamydia trachomatis D/UW-3/CX	1
Chloracidobacterium thermophilum	1
Chlorobaculum parvum NCIB 8327	2
Chlorobium limicola DSM 245	2
Chlorobium phaeobacteroides DSM 266	3
Chloroherpeton thalassium ATCC 35110	2
Chthonomonas calidirosea T49	3
Clostridium autoethanogenum DSM 10061	3
Coprobacter secundus subsp. similis	2
Corallococcus coralloides DSM 2259	7
Cytophaga hutchinsonii ATCC 33406	2
Deinococcus actinosclerus	1
Deinococcus maricopensis DSM 21211	1
Deinococcus radiopugnans	1
Denitrovibrio acetiphilus DSM 12809	8
Desulfitobacterium hafniense DCB-2	1
Desulfococcus multivorans	3
Dissulfurispira thermophila	5
Eikenella corrodens	1
Elusimicrobia bacterium	6
Endomicrobium proavitum	1
Ereboglobus luteus	4
Escherichia coli str. K-12 substr. MG1655	3
Fibrobacter succinogenes subsp. succinogenes S85	9
Fibrobacteres bacterium	7
Fimbriimonas ginsengisoli Gsoil 348	1
Flexistipes sinusarabici DSM 4947	1
Fusobacterium canifelinum	2
Fusobacterium ulcerans	3
Gemmatimonas aurantiaca T-27	4
Gemmatimonas groenlandica	3
Gemmatimonas phototrophica	2
Geobacter sulfurreducens PCA	2
Geovibrio thiophilus	5
Gloeobacter violaceus PCC 7421	3
Hydrogenobacter thermophilus TK-6	2
Isosphaera pallida ATCC 43644	6
Kiritimatiella glycovorans	9
Klebsiella aerogenes	3
Leptospira santarosai serovar Shermani str. LT 821	6
Leptospirillum ferrooxidans C2-3	4
Leptothermofonsia sichuanensis PKUAC-SCTE412	4
Leptotrichia buccalis C-1013-b	1
Lignipirellula cremea	9
Limnochorda pilosa	2
Listeria innocua	1
Luteolibacter luteus	7
Magnetospirillum gryphiswaldense MSR-1 v2	5
Marinithermus hydrothermalis DSM 14884	1
Mariprofundus aestuarium	5
Mariprofundus ferrinatatus	5
Methylacidimicrobium sp. B4	7
Methylobacterium oryzae CBMB20	6
Microcoleus vaginatus PCC 9802	2
Moorella thermoacetica	3
Mucispirillum schaedleri ASF457	2
Myxococcus xanthus DK 1622	8
Niastella koreensis GR20-10	4
Nibricoccus aquaticus	6
Nitrobacter winogradskyi Nb-255	7
Nitrospira japonica	2
Nitrospira moscoviensis	4
Opitutus terrae PB90-1	5
Orientia tsutsugamushi str. Ikeda	1
Oxynema aestuarii AP17	4
Paludibaculum fermentans	9
Parachlamydia acanthamoebae UV-7	2
Pelodictyon phaeoclathratiforme BU-1	2
Pirellula staleyi DSM 6068	11
Pontibacter korlensis	2
Pseudoleptotrichia goodfellowii	1
Pseudomonas aeruginosa PAO1	7
Rhizobacter gummiphilus	8
Rhodobacter capsulatus SB 1003	4
Rhodoferax saidenbachensis	7
Rhodopirellula baltica SH 1	8
Rhodospirillum rubrum F11	8
Rubinisphaera brasiliensis DSM 5305	8
Sedimentisphaera salicampi	3
Shigella sonnei	3
Sorangium cellulosum	7
Sphingomonas alpina	5
Stigmatella aurantiaca DW4/3-1	7
Sulfidibacter corallicola	9
Sulfurimonas autotrophica DSM 16294	3
Sulfurospirillum halorespirans DSM 13726	7
Sulfurovum lithotrophicum	3
Symbiobacterium thermophilum IAM 14863	1
Syntrophus aciditrophicus SB	3
Telmatocola sphagniphila	5
Tepidiforma bonchosmolovskayae	1
Tepidimonas taiwanensis	5
Terriglobus roseus DSM 18391	5
Thermoanaerobacter pseudethanolicus ATCC 33223	1
Thermocrinis albus DSM 14484	2
Thermocrinis ruber	4
Thermodesulfovibrio yellowstonii DSM 11347	3
Tissierella sp. JN-28	2
Treponema pallidum subsp. pallidum	1
Treponema pallidum subsp. pertenue	1
Truepera radiovictrix DSM 17093	1
Vibrio cholerae	5
Vibrio parahaemolyticus RIMD 2210633	8
Victivallales bacterium CCUG 44730	3
Weizmannia coagulans DSM 1 = ATCC 7050	1
YdfI 	1
Yersinia pestis	4
Yersinia pseudotuberculosis IP 32953	4
