domain,accession,name,phylum,class,order,family,genus,species,genbank,protein,prokka,description,oldname
Bacteria,AAC74960.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli str. K-12 substr. MG1655,U00096.3,AAC74960.1,NA,motility protein A,AAC74960.1_motA_Escherichia_coli_K12
Bacteria,ABC77078.1,chunky,Pseudomonadota,Deltaproteobacteria,Syntrophales,Syntrophaceae,Syntrophus,Syntrophus aciditrophicus SB,CP000252.1,ABC77078.1,NA,chemotaxis protein,ABC77078.1_MotA_Syntrophus
Bacteria,ACB73691.1,chunky,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae PB90-1,CP001032.1,ACB73691.1,NA,MotA/TolQ/ExbB proton channel,ACB73691.1_AQB_Opitutus
Bacteria,ACO33337.1,chunky,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum ATCC 51196,CP001472.1,ACO33337.1,NA,putative chemotaxis MotA protein,ACO33337.1_MotA_Acidobacterium
Bacteria,AEI89251.1,chunky,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae,Candidatus Midichloria,Candidatus Midichloria mitochondrii IricVA,CP002130.1,AEI89251.1,NA,flagellar motor protein MotA,AEI89251.1_MotA_Candidatus
Bacteria,AEO48360.1,chunky,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum F11,CP003046.1,AEO48360.1,NA,motA chemotaxis (motility protein A),AEO48360.1_MotA_Rhodospirillum
Bacteria,AIQ92722.1,chunky,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae CBMB20,CP003811.1,AIQ92722.1,NA,Flagellar motor rotation protein MotA,AIQ92722.1_MotA_Methylobacterium
Bacteria,AJJ32465.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,CP009844.1,AJJ32465.1,NA,flagellar motor stator protein MotA,AJJ32465.1_MotA_Yersinia
Bacteria,AJJ32757.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,CP009844.1,AJJ32757.1,NA,flagellar motor stator protein MotA,AJJ32757.1_MotA_Yersinia
Bacteria,AJJ54987.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis IP 32953,CP009712.1,AJJ54987.1,NA,flagellar motor stator protein MotA,AJJ54987.1_MotA_Yersinia
Bacteria,ARU42506.1,chunky,Armatimonadetes,,,,,Armatimonadetes bacterium Uphvl-Ar1,CP021423.1,ARU42506.1,NA,flagellar motor stator protein MotA,ARU42506.1_MotA_Armatimonadetes
Bacteria,ATC63650.1,chunky,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus,CP023344.1,ATC63650.1,NA,flagellar motor protein MotA,ATC63650.1_MotA_Nibricoccus
Bacteria,ATU65955.1,chunky,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU65955.1,NA,flagellar motor stator protein MotA,ATU65955.1_MotA_Rhizobacter
Bacteria,ATU66302.1,chunky,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU66302.1,NA,flagellar motor stator protein MotA,ATU66302.1_MotA_Rhizobacter
Bacteria,BAC62899.1,chunky,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus RIMD 2210633,BA000032.2,BAC62899.1,NA,chemotaxis LafT protein,BAC62899.1
Bacteria,BAH37338.1,chunky,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca T-27,AP009153.1,BAH37338.1,NA,chemotaxis MotA protein,BAH37338.1_MotA_Gemmatimonas
Bacteria,BCB96094.1,chunky,Nitrospirae,Thermodesulfovibrionia,Thermodesulfovibrionales,Dissulfurispiraceae,Dissulfurispira,Dissulfurispira thermophila,AP022873.1,BCB96094.1,NA,flagellar motor stator protein MotA,BCB96094.1_MotA_Dissulfurispira
Bacteria,CCW34551.1,chunky,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,Chthonomonas calidirosea T49,,CCW34551.1,NA,flagellar motor stator protein MotA,CCW34551.1_MotA_Chthonomonas
Bacteria,CDK98316.1,chunky,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense MSR-1 v2,,CDK98316.1,NA,putative Motility protein A,CDK98316.1
Bacteria,QJR36484.1,chunky,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas groenlandica,CP053085.1,QJR36484.1,NA,flagellar motor stator protein MotA,QJR36484.1_MotA_Gemmatimonas
Bacteria,QKY95842.1,chunky,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,CP055292.1,QKY95842.1,NA,flagellar motor stator protein MotA,QKY95842.1_MotA_Shigella
Bacteria,QNQ09341.1,chunky,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas alpina,CP061038.1,QNQ09341.1,NA,flagellar motor stator protein MotA,QNQ09341.1_MotA_Sphingomonas
Bacteria,QOY85080.1,chunky,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY85080.1,NA,flagellar motor stator protein MotA,QOY85080.1_MotA_Paludibaculum
Bacteria,QOY86330.1,chunky,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY86330.1,NA,flagellar motor stator protein MotA,QOY86330.1_MotA_Paludibaculum
